City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,hay river,60.82,-115.8,-22.0,74,40,5.82,CA,1579375417
161,chokurdakh,70.63,147.92,-18.76,93,97,1.52,RU,1579375417
162,volsk,52.03,47.38,28.92,96,28,2.1,RU,1579375417
163,esperance,-33.87,121.9,60.8,77,90,8.05,AU,1579375228
164,bandarbeyla,9.49,50.81,76.42,77,20,25.37,SO,1579375418
165,korla,41.76,86.15,12.33,75,0,5.17,CN,1579375418
166,port moresby,-9.44,147.18,77.0,94,40,11.41,PG,1579375418
167,cherskiy,68.75,161.3,-25.98,100,97,1.43,RU,1579375418
168,shenzhen,22.55,114.07,66.2,67,75,8.95,CN,1579375419
169,kasongo-lunda,-6.47,16.82,70.81,96,90,2.84,CD,1579375419
170,labuhan,-6.88,112.21,75.42,83,74,2.51,ID,1579375419
171,alta floresta,-9.88,-56.09,93.2,52,35,5.82,BR,1579375419
172,suntar,62.14,117.63,2.64,90,98,5.37,RU,1579375419
173,kabare,-2.47,28.82,61.61,97,100,1.99,CD,1579375420
174,port-gentil,-0.72,8.78,80.6,94,20,3.36,GA,1579375420
175,luanda,-8.84,13.23,82.4,74,40,6.93,AO,1579375242
176,severo-kurilsk,50.68,156.12,15.31,90,83,14.36,RU,1579375420
177,mar del plata,-38.0,-57.56,87.8,35,0,13.87,AR,1579375420
178,deputatskiy,69.3,139.9,-31.38,94,0,1.3,RU,1579375420
179,clyde river,70.47,-68.59,-27.4,67,20,2.24,CA,1579375421
180,cabo san lucas,22.89,-109.91,82.0,44,20,10.29,MX,1579375421
181,marquette,46.53,-87.63,28.99,86,90,7.61,US,1579375421
182,bousso,10.48,16.71,79.93,20,0,8.97,TD,1579375421
183,pachora,20.67,75.35,64.92,51,0,2.44,IN,1579375421
184,santo antonio do ica,-3.1,-67.94,82.22,72,93,1.57,BR,1579375422
185,namatanai,-3.67,152.43,83.14,75,100,11.48,PG,1579375384
186,taltal,-25.4,-70.48,72.95,61,23,7.43,CL,1579375423
187,muli,2.92,73.57,82.63,80,48,15.55,MV,1579375265
188,zilair,52.23,57.44,20.1,97,100,5.59,RU,1579375423
189,huilong,31.81,121.66,42.01,66,100,3.27,CN,1579375423
190,yagodnoye,62.55,149.67,-25.89,97,91,1.9,RU,1579375424
